Characteristic,Sub-characteristic,Observation mode,Values,Sub-values,Image,Variables,unit,uid,Definition from observation under binocular,Definition from observation on cross-section,Notice for modification of the current MiCorr interface,Comments,CP Binocular,CP CS,CM Binocular,CM CS,D Binocular,D CS,M Binocular,M CS,NMM Binocular,NMM CS,POM Binocular,POM CS,S Binocular,S CS,SV Binocular,SV CS
Texture,,Binocular,Powdery,,,,,,"Has no cohesion: is easily penetrated by a steel needle or a scalpel, or even a wooden stick without effort.",,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Friable,,,,,,Can be crushed with a scalpel or steel tip to form a powder.,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Brittle,,,,,,"Can be fragmented by pressure with a steel tip, or a scalpel to form piles of varying sizes. ",,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Severable,,,,,,Can be cut with a scalpel forming lumps or chips without being plastically deformed.,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Malleable,,,,,,Can be poked in with a steel spike or scalpel and plastically deformed. Can also be flattened mechanically without being pulverized (Syn. plastic).,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Tough,,,,,,Cannot be shattered by pressure with a steel tip or scalpel.,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,Hardness ,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which hardness is not known.,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Very soft,,,,,,"Scratchable with a hardwood tip (boxwood, yew). Hardness Mohs < 3.",,,< 100Hv,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Soft,,,,,,"Is not scratchable with a hardwood tip, but is easily scratched with a hardened steel spike. Mohs hardness > 3 and < 5.",,,Between 100 and 540Hv,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Hard,,,,,,Hardly scratchable with a hardened steel tip. Mohs hardness > 5 and < 7.,,,Between 540Hv and 1100Hv,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Very hard,,,,,,Is not scratched by a hardened steel tip. Mohs hardness > 7.,,,> 1100Hv,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Cross section,,,,,,,,Determined on the observed area.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross section,,,,Microhardness,Hv,microhardnessVarFamily,,In Hv.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,
Texture,Cracking,Binocular,,,,,,,Assessed on the observed area. Pattern which results of the combined and synergistic interaction of mechanical stress and corrosion reactions.,,,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Structure,,,,,crackingStructureFamily,Options of patterns. The blank option corresponds to a stratum which cracking is not known.,,Added,do we just replace existing crackingFamily ?,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Blank,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,No crack,,,,,No crack visible at this observation scale.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Simple,,,,,Isolated crack.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Branched,,,,,Crack separating into several cracks.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Network,,,,,Cracks distributed over the entire surface observed according to geometrical shapes.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Surface direction,,,,,crackingSurfaceDirectionFamily,Orientation of the crack in a plane tangential to the surface of the object and direction of propagation.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Blank,,,,,,,Added,,,,x,,,,,,x,,x,,,,,
Texture,,Binocular,,Longitudinal,,,,longitudinalSurfaceDirectionCharacteristic,Versus the object geometry.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Transvere,,,,transverseSurfaceDirectionCharacteristic,Versus the object geometry.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Oblique,,,,obliqueSurfaceDirectionCharacteristic,Versus the object geometry.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Circular,,,,circularSurfaceDirectionCharacteristic,Versus the object geometry.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Inward direction,,,,,crackingInwardDirectionFamily,Orientation of the crack in a plane perpendicular to the surface of the object and with respect to the corrosion layers and direction of propagation.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Blank,,,,,,,Added,,,,x,,,,,,x,,x,,,,,
Texture,,Binocular,,Parallel,,,,parallelInwardDirectionCharacteristic,Parallel to the object geometry,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Oblique,,,,obliqueInwardDirectionCharacteristic,Oblique to the object geometry,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Perpendicular,,,,circularInwardDirectionCharacteristic,Perpendicular to the object geometry,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Width,,,,,crackingWidthFamily,Average space between the lips of the cracks. To compare to the back of a classical sclapel blade type 11 which is 400µm width.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Narrow,,,,narrowWidthCharacteristic,Thinner than the back of a scalpel blade type 11 < 400µm.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Large,,,,largeWidthCharacteristic,Larger than the back of a scalpel blade type 11 > 400µm. ,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,,,Dimension,,,In µm,,Added,Value,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Length,,,,,crackingLengthVarFamily,Average crack size parallel to the surface.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,,,,,Dimension,,,In µm.,,Added,Value,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Depth,,,,,crackingDepthVarFamily,Average crack size perpendicular to the surface.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,,,,,Dimension,,,In µm.,,Added,Value,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Filling,,,,,crackingFillingFamily,Material which might fill the cracks.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Empty,,,,emptyFillingCharacteristic,Cracks with an empty space between the walls.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Filled,,,,filledFillingCharacteristic,Cracks in which the space between the walls is filled with another material.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Edges,,,,,crackingEdgesFamily,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Sharp,,,,sharpEdgesCharacteristic,Cracks with fine edges.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Rounded,,,,roundedEdgesCharacteristic,Cracks with rounded edges.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,Type of cracks,,,,,crackingTypeOfCracksFamily,Main specific types of cracks.,,Added,,x,,x,,x,,x,,,,x,,,,,
Texture,,Binocular,,Dishing,,,,dishingTypeOfCracksCharacteristic,Scale separation due to circular cracking.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Flaking,,,,flakingTypeOfCracksCharacteristic,"Separation of the CP strata from the metal core (CM, M strata) as a result of tangential cracking.",,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Wedges,,,,wedgesTypeOfCracksCharacteristic,Perpendicular radial cracking. May lead to separation into wedge-shaped fragments.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Surface crazing,,,,surfaceCrazingTypeOfCracksCharacteristic,Network of perpendicular cracks of variable width covering the entire surface observed,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Binocular,,Star-shaped cracking,,,,starShapedTypeOfCracksCharacteristic,Perpendicular cracks branching from a centre in all directions.,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Texture,,Cross-section,,,,,,,,Determined in the observed area. Pattern which results of the combined and synergistic interaction of mechanical stress and corrosion reactions.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Structure,,,,,crackingStructureCSFamily,,Options of patterns. The blank option corresponds to a stratum which cracking is not known?,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Blank,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,No crack,,,,,,No crack visible at this observation scale.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Simple,,,,,,Isolated crack.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Branched,,,,,,Crack separating into several cracks.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Network,,,,,,Cracks distributed over the entire surface observed according to geometrical shapes.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Inward direction,,,,,crackingInwardDirectionCSFamily,,Orientation of the crack in a plane perpendicular to the surface of the cross-section at the Metal / corrosion products interfaces. ,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Blank,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Parallel,,,,parallelInwardDirectionCSCharacteristic,,Parallel to the object geometry.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Oblique,,,,obliqueInwardDirectionCSCharacteristic,,Oblique to the object geometry.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Perpendicular,,,,circularInwardDirectionCSCharacteristic,,Perpendicular to the object geometry.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Width,,,,,crackingWidthCSVarFamily,,Average spacing of the lips of the crack.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,,,Dimension,,,,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Length,,,,,crackingLengthCSVarFamily,,Average crack size parallel to the surface.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,,,Dimension,,,,In µm.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Depth,,,,,crackingDepthCSVarFamily,,Average crack size perpendicular to the surface.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,,,Dimension,,,,In µm.,,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,Filling,,,,,crackingFillingCSFamily,,Material which might fill the cracks.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Empty,,,,emptyFillingCSCharacteristic,,Cracks with an empty space between the walls.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Texture,,Cross-section,,Filled,,,,filledFillingCSCharacteristic,,Cracks in which the space between the walls is filled with another material.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Microstructure ,,,,,,,,,The microstructure refers to the internal organization of a stratum. ,The microstructure refers to the internal organization of a stratum. ,,,x,,,,x,,x,,x,,x,,x,,,
 Microstructure, Microstructure,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which microstructure is not known.,,,,x,,x,,x,,x,,x,,x,,x,,,
 Microstructure,,Binocular,Blank,,,,,,,,,,x,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Alternative bands,,,,,,Occurrence of several alternately repeating layers of corrosion products of different composition.,,Delete sub-characteristics,,x,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Cristalline microstructure,,,,,,Presence of a crystalline aggregates. The blank option corresponds to a stratum which cristalline microstructure is not known.,,,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Blank,,,,,,,,,,,,,,,,,,,,,,,,
 Microstructure,,Binocular,,Dendritic,,,,,"Formed from crystals of protrusions, assembled
dendrite (in the shape of a fern, of trees).",,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Drusy aggregate,,,,,Aggregate formed of protruding crystals lining a surface.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Géode,,,,,Aggregate formed of protruding crystals lining a cavity.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Lamellar,,,,,Formed from tabular plate-like embedded crystals superimposed and adhering to each other.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Foliated,,,,,Formed from tabular enclosed crystals in the form of easily separable platelets or superimposed laminae.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Fibrous,,,,,"Formed of elongated, capillary, parallel included crystals. They can be curved.",,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Stellated,,,,,Formed from acicular elongated embedded crystals or radiant capillaries.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Concentric,,,,,Formed of more or less spherical layers superimposed one on top of the other around a centre.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Banded,,,,,Formed from layers superimposed on each other.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Botryoidal,,,,,Spherical in shape forming groups of crystals in the manner of a bunch of grapes.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Reniform,,,,,With a surface that has nipples like a kidney.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Stalactiform,,,,,In the form of stalactite or stalagmite.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Globular,,,,,"Spherical or hemispherical shape. When the crystals globules are superimposed, the aggregate becomes reniform or botryoidal.",,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Granular,,,,,Compact material having facets of crystals included on the surface.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Massive,,,,,Compact material without visible crystalline organization.,,Added,,x,,,,x,,,,,,,,,,,
 Microstructure,,Binocular,,Powderish,,,,,Powder-like material of low to very low cohesion.,,Added,,x,,,,x,,x,,,,,,,,,
 Microstructure,,Binocular,Isolated aggregate microstructure,,,,,,Stratum containing one or more aggregate(s) having a minority volume over the area observed.,,Delete sub-characteristics.,,x,,x,,x,,x,,x,,x,,x,,,
 Microstructure,,Binocular,Scattered aggregate microstructure,,,,,,Stratum containing numerous aggregates separated from each other and distributed over the observed area.,,Delete sub-characteristics.,,x,,x,,x,,x,,x,,x,,x,,,
 Microstructure,,Binocular,Dendrites,,,,,,Stratum containing crystals in the form of trees with branches.,,Modified,,,,,,,,x,,,,,,,,,
 Microstructure,,Binocular,Equiaxe grains,,,,,,Stratum consisting of equiaxed grains.,,Added,,,,,,,,x,,,,,,,,,
 Microstructure,,Binocular,Pseudomorph of dendritic microstructure,,,,,,Microstructure formed by selective replacement of dendritic and interdendritic zones. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the dendritic microstructure of the original metal.,,,,x,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Pseudomorph of grain microstructure,,,,,,Microstructure formed by selective replacement of grains and grain boundaries. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the grain microstructure of the original metal.,,Modified,,x,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Hexagonal microstructure,,,,,,Hexagonal network distribution of a stratum,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Lenticular,,,,,,Stratum with lens-like microstructure.,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Structural void,,,,,,Microstructure consisting of material in the gaseous state.,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
 Microstructure,,Binocular,Pebbles,,,,,,20 to 75 mm.,,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Binocular,Gravel,,,,,,2 to 20 mm.,,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Binocular,Coarse sands,,,,,,"0,4 to 2 mm. Crumbling.",,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Binocular,Fine sands,,,,,,"0,08 to 0,4 mm. Easily malleable. No plasticity. Soft touch, Dusty in dry state.",,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Binocular,Limons,,,,,,"0,01 to 0,08 mm. Easily malleable. No plasticity
Soft touch, Dusty in dry state",,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Binocular,Clay,,,,,,"< 0,01 mm. Plasticity. High kneading resistance. Sticky when wet. Very hard when dry.",,Added,,,,,,,,,,,,,,x,,,
 Microstructure,,Cross-section,,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which microstructure is not known.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Blank,,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Deformed dendrites,,,,,,,Stratum containing crystals in the form of deformed trees with branches.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Non elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions size,,Dimension,µm,,,,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Inclusions distribution,,Percentage,%,,,In % of the observed area.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Dendrites,,,,,,,Stratum containing crystals in the form of trees with branches.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Non elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions distribution,,Percentage,%,,,In % of the observed area.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Elongated grains,,,,,,,Stratum consisting of grains elongated in one or several direction(s).,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Non elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions distribution,,Percentage,%,,,In % of the observed area.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Equiaxe grains,,,,,,,Stratum consisting of equiaxed grains.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Grain size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Non elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions distribution,,Percentage,%,,,In % of the observed area.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,No microstructure visible at this observation scale,,,,,,,,Added,,,X,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Alternative bands,,,,,,,Occurrence of several alternately repeating layers of corrosion products of different composition.,Delete sub-characteristics,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Isolated aggregate microstructure,,,,,,,Stratum containing one or more aggregate(s) having a minority volume over the area observed.,Delete sub-characteristics.,,,X,,,,X,,X,,X,,X,,X,,
 Microstructure,,Cross-section,Isolated aggregate microstructure in CP,,,,,,,CP section of the stratum containing one or more aggregate(s) having a minority volume over the area observed.,,,,,,X,,,,,,,,,,,,
 Microstructure,,Cross-section,Scattered aggregate microstructure,,,,,,,Stratum containing numerous aggregates separated from each other and distributed over the observed area.,Delete sub-characteristics.,,,X,,,,X,,X,,X,,X,,X,,
 Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of dendritic microstructure,,,,,,,Microstructure formed by selective replacement of dendritic and interdendritic zones. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the dendritic microstructure of the original metal.,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Inclusions,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Twin lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of grain microstructure,,,,,,,Microstructure formed by selective replacement of grains and grain boundaries. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the grain microstructure of the original metal.,granular modified,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Inclusions,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Twin lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of organic material,,,,,,,Microstructure formed by the replacement of the constituents of organic materials by corrosion products. The alteration process has led to a preservation of the initial form of the organic materials and a partial or total transformation of the organic matter.,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pebbles,,,,,,,20 to 75 mm.,Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Gravel,,,,,,,2 to 20 mm.,Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Coarse sands,,,,,,,"0,4 to 2 mm. Crumbling.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Fine sands,,,,,,,"0,08 to 0,4 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Limons,,,,,,,"0,01 to 0,08 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Clay,,,,,,,"< 0,01 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Cementite,,,,,,,Cementite is an iron carbide with the chemical formula Fe₃C.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Ferrite,,,,,,,Ferrite is a solid solution of carbon in the iron allotrope α.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Pearlite,,,,,,,Perlite is a two-phase component generally consisting of alternating lamellae of cementite (Fe₃C) and ferrite.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Graphite lamellas,,,,,,,Phase characteristic of grey cast iron.,,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Copper alpha phase,,,,,,,Primary phase in most copper based alloys,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,P-eutectic,,,,,,,"Structural components in grey cast iron alloys, also referred to as steatite.",Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Beta compounds (voir composés du Bz),,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Others?,,,,,,,,Added,To develop further,,,,,,,,X,,,,,,,,
Composition,,,,,,,,,Chemical nature of the stratum.,Chemical nature of the stratum.,,,x,X,x,X,x,X,x,X,x,X,x,X,x,X,,
Composition,Main element(s),Binocular,,,,list,elementFamily,,Determined in the observed area. Only the family element(s) should be given.,,,Only if elementary analysis has been carried out.,x,,,,x,,x,,x,,x,,x,,,
Composition,Main element(s),Cross-section,,,,,,,,Determined in the observed area. Only the family element(s) should be given.,Added,fieldset,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,List,,,list,elementFamily,,,Determined in the observed area. Only the family element(s) should be given.,Added,,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,,,X,,,,X,,X,,X,,X,,X,,
Composition,Secondary element(s),Binocular,,,,list,elementFamily,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,,,Only if elementary analysis has been carried out.,x,,,,x,,x,,x,,x,,x,,,
Composition,Secondary element(s),Cross-section,,,,,,,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,Added,fieldset,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,List,,,list,elementFamily,,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,Added,Value,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,Value,,X,,,,X,,X,,X,,X,,X,,
Composition,Compounds,Binocular,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s) and validaded by analytical techniques.,,,Only if structural or molecular analysis has been carried out.,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,,,,,,,,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,XRD,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,Raman spectroscopy,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,FTIR,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,Others,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,Compounds,Cross-section,,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s) and validaded by analytical techniques.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,,,,,,,,,Added,,,,,,,,,,,,,,,,,
Composition,,Cross-section,XRD,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,Raman spectroscopy,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,FTIR,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
